age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,salary
29,Private,Assoc,8,Separated,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,90,76028
39,Government,HS-grad,5,Widowed,Tech-support,Not-in-family,Other,Male,64,40275
61,Self-emp,Bachelors,5,Widowed,Tech-support,Wife,White,Female,89,62001
42,Government,HS-grad,9,Married,Sales,Own-child,Black,Female,51,37368
66,Unemployed,Assoc,8,Separated,Tech-support,Husband,Black,Female,59,73317
44,Private,Bachelors,16,Single,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,55,65614
59,Government,Doctorate,13,Single,Prof-specialty,Own-child,Other,Female,49,74944
45,Government,Masters,1,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,82285
33,Unemployed,Bachelors,3,Separated,Craft-repair,Not-in-family,Other,Male,15,64268
32,Private,Assoc,12,Married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,70,64926
64,Private,Bachelors,7,Divorced,Sales,Wife,Other,Male,65,87449
68,Unemployed,HS-grad,1,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,7,37719
61,Self-emp,Some-college,1,Single,Tech-support,Not-in-family,Other,Male,62,17174
69,Government,Bachelors,5,Widowed,Exec-managerial,Wife,White,Female,54,50402
20,Self-emp,Doctorate,9,Married,Prof-specialty,Husband,Black,Male,52,89798
54,Government,Bachelors,6,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,51,93644
68,Government,Masters,10,Divorced,Other-service,Wife,Amer-Indian-Eskimo,Male,4,71172
24,Self-emp,Bachelors,2,Married,Sales,Husband,Black,Female,1,89183
38,Unemployed,Some-college,11,Single,Craft-repair,Unmarried,Asian-Pac-Islander,Male,66,21474
26,Unemployed,HS-grad,16,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,98,57330
56,Government,Bachelors,9,Divorced,Sales,Husband,White,Female,35,61553
35,Unemployed,Doctorate,16,Single,Exec-managerial,Wife,Other,Male,77,85731
21,Government,Assoc,6,Single,Exec-managerial,Husband,White,Female,81,43718
42,Unemployed,Bachelors,5,Single,Sales,Not-in-family,Amer-Indian-Eskimo,Female,10,58179
31,Government,Bachelors,5,Married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,67,87529
67,Unemployed,Masters,15,Married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,68,105921
26,Private,Doctorate,12,Married,Sales,Husband,Asian-Pac-Islander,Male,89,115451
43,Self-emp,Some-college,3,Widowed,Exec-managerial,Not-in-family,Black,Female,93,37726
19,Private,Assoc,14,Divorced,Prof-specialty,Unmarried,Other,Female,65,70689
37,Self-emp,HS-grad,16,Married,Sales,Own-child,White,Female,51,35684
45,Self-emp,Bachelors,6,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,30,78898
64,Government,Some-college,15,Divorced,Tech-support,Not-in-family,White,Male,39,16825
24,Self-emp,Assoc,15,Married,Prof-specialty,Wife,Black,Male,10,66309
61,Private,HS-grad,13,Single,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,93,30541
25,Private,Some-college,16,Separated,Craft-repair,Husband,Asian-Pac-Islander,Female,44,20673
64,Unemployed,Doctorate,4,Married,Sales,Unmarried,Other,Male,32,126533
52,Private,Doctorate,13,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,44,109462
31,Unemployed,Assoc,12,Married,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,63,50931
34,Self-emp,HS-grad,10,Single,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,61,53273
53,Private,Doctorate,14,Separated,Craft-repair,Unmarried,Other,Male,65,126361
67,Self-emp,Assoc,15,Widowed,Craft-repair,Unmarried,Other,Female,41,47559
57,Private,Doctorate,2,Single,Other-service,Own-child,Black,Male,81,91273
21,Private,Doctorate,16,Separated,Other-service,Wife,White,Male,12,106901
19,Unemployed,Some-college,13,Separated,Exec-managerial,Husband,Asian-Pac-Islander,Male,2,38140
23,Self-emp,Some-college,3,Single,Tech-support,Own-child,Black,Male,73,21688
59,Private,Doctorate,9,Single,Prof-specialty,Wife,White,Male,76,142646
21,Government,Masters,11,Single,Tech-support,Wife,Black,Female,60,125868
46,Self-emp,Some-college,11,Divorced,Tech-support,Wife,Other,Male,25,36321
35,Self-emp,HS-grad,9,Widowed,Exec-managerial,Unmarried,Other,Male,61,36685
43,Self-emp,Assoc,6,Married,Sales,Husband,Amer-Indian-Eskimo,Male,99,50109
61,Unemployed,Assoc,10,Separated,Sales,Husband,Asian-Pac-Islander,Male,22,76377
51,Government,HS-grad,10,Married,Sales,Own-child,Asian-Pac-Islander,Male,97,52174
27,Self-emp,HS-grad,14,Single,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,56,31025
53,Private,HS-grad,9,Widowed,Prof-specialty,Own-child,Black,Male,21,58419
31,Private,HS-grad,4,Widowed,Craft-repair,Husband,Black,Male,55,39676
48,Unemployed,Bachelors,11,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,40,80308
65,Private,Assoc,5,Single,Other-service,Own-child,Amer-Indian-Eskimo,Male,51,40571
32,Self-emp,Bachelors,10,Separated,Prof-specialty,Not-in-family,White,Male,22,95526
25,Private,Doctorate,6,Divorced,Prof-specialty,Own-child,Black,Male,28,115524
31,Self-emp,Doctorate,13,Single,Exec-managerial,Wife,Asian-Pac-Islander,Female,4,88585
40,Private,Assoc,15,Divorced,Sales,Not-in-family,Other,Male,26,76939
57,Government,Doctorate,9,Married,Craft-repair,Wife,Black,Female,87,95508
38,Unemployed,HS-grad,13,Single,Other-service,Unmarried,White,Male,60,25512
33,Unemployed,Bachelors,16,Separated,Craft-repair,Husband,Black,Male,23,91752
62,Government,HS-grad,5,Separated,Exec-managerial,Own-child,White,Male,41,57263
35,Government,Doctorate,8,Single,Prof-specialty,Own-child,White,Male,58,95262
64,Unemployed,Some-college,11,Divorced,Other-service,Wife,Black,Female,8,22556
41,Government,Bachelors,1,Widowed,Sales,Wife,White,Female,96,47088
43,Self-emp,HS-grad,5,Single,Tech-support,Husband,Black,Male,51,48576
42,Private,Assoc,10,Separated,Tech-support,Own-child,Black,Male,61,65199
62,Unemployed,HS-grad,1,Married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,1,32232
58,Government,Some-college,10,Separated,Sales,Wife,Other,Male,30,15617
46,Self-emp,Doctorate,14,Widowed,Tech-support,Wife,White,Female,92,104645
32,Unemployed,Bachelors,6,Separated,Tech-support,Not-in-family,Black,Male,17,77889
62,Government,Assoc,7,Widowed,Other-service,Wife,White,Female,23,43947
18,Unemployed,Bachelors,12,Single,Other-service,Wife,Black,Female,24,52681
42,Government,Assoc,14,Separated,Craft-repair,Husband,Black,Female,86,86564
24,Unemployed,Bachelors,5,Divorced,Sales,Not-in-family,Black,Male,69,60766
26,Self-emp,Doctorate,1,Divorced,Tech-support,Not-in-family,Other,Male,89,89075
41,Self-emp,Assoc,6,Separated,Other-service,Own-child,White,Female,52,83092
18,Private,Masters,10,Separated,Other-service,Unmarried,Other,Female,71,83263
61,Unemployed,Bachelors,5,Married,Other-service,Own-child,Other,Female,58,78764
25,Private,Bachelors,6,Separated,Craft-repair,Own-child,Other,Male,22,69617
41,Unemployed,HS-grad,16,Married,Sales,Own-child,Other,Male,59,26427
28,Government,Assoc,16,Married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,44,85589
68,Government,Some-college,11,Married,Other-service,Husband,White,Male,37,25508
34,Private,Masters,10,Married,Sales,Wife,White,Male,34,79446
25,Unemployed,Doctorate,15,Single,Exec-managerial,Not-in-family,Black,Male,57,75552
52,Private,HS-grad,7,Divorced,Craft-repair,Wife,White,Female,57,30278
52,Self-emp,Masters,7,Married,Prof-specialty,Wife,Other,Male,40,144107
50,Private,Assoc,2,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Male,20,74886
22,Private,Masters,15,Married,Other-service,Own-child,White,Female,17,79769
59,Government,Bachelors,12,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Female,52,75729
56,Private,Bachelors,3,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,4,88807
58,Unemployed,HS-grad,12,Separated,Tech-support,Not-in-family,Black,Female,63,34651
45,Government,Assoc,16,Divorced,Other-service,Wife,Black,Female,50,84069
24,Private,Assoc,6,Married,Sales,Unmarried,Black,Male,82,50641
26,Self-emp,Masters,3,Single,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,92,131778
25,Private,HS-grad,2,Divorced,Craft-repair,Not-in-family,Other,Female,50,33553
29,Private,Assoc,4,Widowed,Exec-managerial,Own-child,Asian-Pac-Islander,Male,16,52845
51,Private,Some-college,5,Single,Exec-managerial,Wife,White,Male,72,21959
50,Government,Some-college,11,Widowed,Exec-managerial,Own-child,Other,Male,61,23812
65,Unemployed,Bachelors,10,Divorced,Craft-repair,Own-child,Black,Female,44,87512
40,Self-emp,Masters,9,Married,Prof-specialty,Not-in-family,Black,Male,18,110749
41,Private,Doctorate,3,Widowed,Sales,Own-child,Other,Female,50,120036
54,Unemployed,Bachelors,3,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Male,93,62250
52,Unemployed,HS-grad,6,Single,Tech-support,Wife,Other,Male,80,43970
61,Government,Assoc,5,Married,Other-service,Own-child,Amer-Indian-Eskimo,Female,30,90988
57,Self-emp,Bachelors,6,Widowed,Prof-specialty,Own-child,Black,Female,49,80612
39,Government,Doctorate,7,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,98,85066
44,Unemployed,Doctorate,11,Married,Sales,Wife,White,Female,94,117912
52,Unemployed,Some-college,16,Married,Prof-specialty,Wife,Black,Male,21,38168
18,Unemployed,HS-grad,3,Separated,Sales,Own-child,Other,Female,22,36875
52,Government,Bachelors,15,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,47,97421
54,Self-emp,Masters,13,Divorced,Other-service,Unmarried,Black,Male,25,83624
64,Private,Bachelors,5,Single,Sales,Husband,White,Female,86,67139
31,Government,Some-college,8,Separated,Exec-managerial,Own-child,White,Male,56,22552
20,Unemployed,Doctorate,16,Divorced,Exec-managerial,Wife,Other,Male,64,116632
18,Government,HS-grad,4,Divorced,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,28,28357
22,Unemployed,HS-grad,10,Divorced,Prof-specialty,Husband,Other,Female,33,50650
43,Private,Masters,2,Widowed,Sales,Not-in-family,Asian-Pac-Islander,Male,66,78265
31,Private,HS-grad,4,Widowed,Sales,Own-child,Other,Female,4,30680
56,Self-emp,Some-college,2,Single,Other-service,Wife,Asian-Pac-Islander,Male,80,34769
44,Unemployed,Some-college,3,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,12,21931
26,Self-emp,Some-college,4,Widowed,Exec-managerial,Wife,Other,Female,17,31037
32,Self-emp,HS-grad,4,Widowed,Craft-repair,Wife,White,Male,36,50698
32,Private,HS-grad,10,Widowed,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,16,49395
43,Government,Some-college,9,Single,Tech-support,Husband,Asian-Pac-Islander,Male,23,30786
59,Government,HS-grad,16,Single,Sales,Own-child,White,Male,72,55666
30,Self-emp,HS-grad,10,Divorced,Tech-support,Not-in-family,Other,Male,9,48810
68,Private,Doctorate,6,Separated,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,78,137574
49,Unemployed,Bachelors,9,Divorced,Craft-repair,Wife,Black,Female,55,81320
56,Government,Assoc,4,Widowed,Tech-support,Not-in-family,Other,Male,73,77558
66,Self-emp,HS-grad,9,Widowed,Other-service,Own-child,Other,Female,64,29868
69,Government,Assoc,11,Married,Sales,Husband,Asian-Pac-Islander,Female,47,45361
49,Government,Assoc,13,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Female,90,73781
21,Unemployed,Doctorate,9,Widowed,Sales,Husband,Amer-Indian-Eskimo,Female,67,119111
47,Private,HS-grad,6,Widowed,Other-service,Own-child,Amer-Indian-Eskimo,Male,10,49286
54,Unemployed,Some-college,5,Separated,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,89,25761
40,Private,Assoc,3,Married,Tech-support,Own-child,White,Female,4,47511
56,Government,HS-grad,14,Divorced,Craft-repair,Not-in-family,Black,Female,30,42968
62,Self-emp,Masters,15,Single,Exec-managerial,Unmarried,Black,Female,11,93512
32,Unemployed,Some-college,5,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,51,35022
60,Private,Masters,15,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,19,138135
46,Government,Masters,3,Separated,Tech-support,Husband,Black,Male,13,88963
53,Private,Assoc,5,Divorced,Sales,Own-child,Other,Female,57,73428
30,Private,Masters,5,Separated,Other-service,Own-child,White,Female,3,109519
49,Private,Doctorate,2,Separated,Sales,Husband,Asian-Pac-Islander,Female,78,99537
24,Government,Doctorate,14,Widowed,Prof-specialty,Not-in-family,White,Female,74,122436
68,Self-emp,Assoc,16,Single,Other-service,Unmarried,Other,Male,38,55106
39,Self-emp,HS-grad,14,Separated,Sales,Unmarried,Black,Male,27,39672
45,Self-emp,Bachelors,9,Married,Prof-specialty,Husband,White,Female,88,41898
19,Private,HS-grad,15,Married,Prof-specialty,Unmarried,White,Female,80,57080
59,Government,HS-grad,7,Single,Prof-specialty,Wife,White,Female,10,34150
62,Private,HS-grad,14,Separated,Tech-support,Own-child,Other,Female,53,40879
23,Self-emp,HS-grad,6,Single,Other-service,Unmarried,Asian-Pac-Islander,Male,27,29681
45,Self-emp,Some-college,5,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,7,30402
45,Government,Bachelors,15,Married,Sales,Wife,Other,Male,92,53116
61,Private,Some-college,4,Divorced,Other-service,Not-in-family,White,Male,90,31415
61,Unemployed,Masters,8,Married,Prof-specialty,Not-in-family,White,Female,82,109309
37,Unemployed,HS-grad,2,Separated,Sales,Wife,Amer-Indian-Eskimo,Female,13,37012
47,Self-emp,Doctorate,8,Single,Sales,Not-in-family,Black,Male,72,76421
28,Government,Assoc,1,Married,Prof-specialty,Husband,Black,Female,91,59839
45,Private,Assoc,16,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Male,60,47118
42,Private,Some-college,10,Divorced,Exec-managerial,Own-child,Other,Female,14,25462
56,Self-emp,Some-college,1,Single,Prof-specialty,Own-child,White,Female,44,38160
50,Self-emp,Doctorate,3,Single,Tech-support,Own-child,Black,Female,70,115041
18,Private,HS-grad,5,Married,Sales,Unmarried,Other,Female,84,43247
44,Private,Bachelors,14,Separated,Sales,Wife,Other,Male,28,94400
69,Self-emp,Masters,6,Widowed,Exec-managerial,Wife,White,Female,23,113642
30,Private,Assoc,4,Divorced,Prof-specialty,Not-in-family,Other,Female,12,77113
58,Unemployed,Masters,16,Single,Other-service,Wife,Black,Female,24,75273
20,Self-emp,Bachelors,7,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,51,59874
56,Private,Some-college,7,Widowed,Tech-support,Not-in-family,Black,Female,22,28253
23,Self-emp,Assoc,2,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,62,92472
25,Government,Masters,2,Separated,Exec-managerial,Wife,Other,Male,26,120757
44,Self-emp,Some-college,2,Single,Exec-managerial,Husband,Black,Female,86,19153
26,Self-emp,Bachelors,15,Divorced,Sales,Not-in-family,White,Male,58,70700
54,Government,Masters,14,Single,Craft-repair,Husband,Other,Female,71,97383
50,Unemployed,HS-grad,15,Married,Tech-support,Unmarried,White,Female,15,29890
68,Private,Some-college,2,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,94,38247
59,Government,Bachelors,13,Single,Craft-repair,Wife,Asian-Pac-Islander,Male,68,73690
61,Self-emp,Masters,9,Divorced,Other-service,Wife,Asian-Pac-Islander,Male,6,132804
41,Private,HS-grad,14,Married,Other-service,Husband,Amer-Indian-Eskimo,Male,2,39000
32,Government,HS-grad,5,Divorced,Other-service,Husband,Asian-Pac-Islander,Female,31,45655
49,Private,Bachelors,11,Widowed,Exec-managerial,Unmarried,Other,Female,24,88926
49,Private,Doctorate,8,Separated,Prof-specialty,Unmarried,Other,Male,35,110540
41,Government,Assoc,5,Married,Tech-support,Wife,Black,Male,47,67167
58,Private,Bachelors,16,Divorced,Craft-repair,Own-child,Other,Female,31,94450
69,Unemployed,HS-grad,13,Married,Sales,Unmarried,Asian-Pac-Islander,Male,89,56190
66,Government,HS-grad,11,Widowed,Sales,Wife,White,Female,72,58687
66,Unemployed,Bachelors,5,Separated,Exec-managerial,Unmarried,Black,Female,76,94357
69,Self-emp,Doctorate,1,Married,Tech-support,Not-in-family,White,Male,2,72753
29,Private,Assoc,6,Widowed,Prof-specialty,Husband,Asian-Pac-Islander,Female,79,54770
56,Self-emp,Masters,16,Widowed,Tech-support,Wife,White,Female,59,73903
19,Self-emp,Bachelors,4,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Male,96,55843
20,Private,Assoc,15,Divorced,Sales,Husband,Other,Male,63,58188
66,Government,Assoc,3,Single,Tech-support,Own-child,Black,Male,75,40742
54,Private,Some-college,16,Married,Sales,Unmarried,Amer-Indian-Eskimo,Female,17,18379
66,Self-emp,HS-grad,6,Single,Craft-repair,Wife,Asian-Pac-Islander,Female,54,47975
34,Self-emp,Masters,2,Widowed,Craft-repair,Not-in-family,Other,Male,21,148777
66,Government,Bachelors,8,Single,Sales,Husband,White,Female,22,51008
19,Private,HS-grad,1,Widowed,Prof-specialty,Husband,Other,Male,97,41226
19,Self-emp,Some-college,12,Widowed,Prof-specialty,Not-in-family,White,Female,55,27679
45,Unemployed,Some-college,9,Separated,Tech-support,Wife,White,Female,29,26492
40,Self-emp,HS-grad,8,Separated,Sales,Own-child,White,Female,79,43385
54,Self-emp,Doctorate,1,Single,Exec-managerial,Not-in-family,White,Female,21,111392
49,Government,Assoc,10,Married,Prof-specialty,Own-child,Black,Female,2,74032
50,Unemployed,Bachelors,12,Single,Prof-specialty,Wife,White,Male,42,97389
18,Self-emp,Bachelors,15,Married,Other-service,Unmarried,Black,Male,52,68571
36,Self-emp,Bachelors,9,Single,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,38,70797
19,Unemployed,HS-grad,2,Divorced,Prof-specialty,Wife,Black,Male,3,47503
61,Private,Doctorate,3,Divorced,Prof-specialty,Own-child,White,Male,25,143542
43,Private,Masters,2,Married,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,77,82182
49,Self-emp,Some-college,13,Separated,Prof-specialty,Wife,Other,Female,88,21585
23,Self-emp,HS-grad,16,Married,Other-service,Wife,Black,Female,62,41577
49,Private,Masters,14,Single,Sales,Unmarried,Other,Male,95,130645
21,Government,Some-college,8,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Male,15,35488
28,Unemployed,Some-college,16,Divorced,Craft-repair,Unmarried,Black,Male,70,25781
34,Unemployed,Doctorate,2,Widowed,Tech-support,Own-child,White,Female,10,86200
55,Government,Assoc,10,Divorced,Other-service,Own-child,Black,Female,73,73809
41,Government,Bachelors,2,Single,Prof-specialty,Husband,White,Female,69,97193
22,Government,Masters,16,Divorced,Tech-support,Wife,Asian-Pac-Islander,Female,44,109844
69,Government,HS-grad,15,Married,Sales,Not-in-family,Black,Female,41,39504
51,Government,Masters,1,Widowed,Prof-specialty,Not-in-family,Black,Male,83,99079
23,Government,Assoc,7,Widowed,Tech-support,Unmarried,Other,Male,20,86339
39,Unemployed,Bachelors,12,Single,Other-service,Unmarried,Other,Male,97,48703
28,Government,Masters,2,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,37,112977
65,Private,Assoc,10,Single,Tech-support,Unmarried,White,Female,95,94494
33,Government,HS-grad,5,Separated,Other-service,Husband,Other,Male,39,39773
50,Government,Doctorate,5,Married,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,77,126065
26,Unemployed,Some-college,3,Divorced,Sales,Husband,White,Female,70,26945
23,Unemployed,HS-grad,3,Divorced,Craft-repair,Own-child,White,Male,8,46885
33,Government,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Female,43,81592
46,Unemployed,Some-college,12,Separated,Exec-managerial,Husband,Asian-Pac-Islander,Male,10,23177
20,Self-emp,HS-grad,3,Married,Tech-support,Husband,White,Male,41,34221
37,Unemployed,HS-grad,6,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Male,4,39797
53,Unemployed,HS-grad,14,Widowed,Exec-managerial,Unmarried,White,Male,78,34096
36,Unemployed,HS-grad,4,Married,Exec-managerial,Unmarried,White,Female,4,26890
43,Unemployed,Some-college,13,Married,Other-service,Own-child,Amer-Indian-Eskimo,Female,24,20916
20,Private,Bachelors,3,Divorced,Sales,Husband,Black,Female,21,87172
36,Private,Assoc,2,Widowed,Other-service,Wife,White,Male,10,71587
37,Private,Masters,13,Married,Other-service,Unmarried,Amer-Indian-Eskimo,Female,46,91342
49,Government,Doctorate,3,Widowed,Prof-specialty,Own-child,Other,Male,89,138663
24,Government,Masters,4,Married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,70,72872
69,Self-emp,Masters,6,Single,Craft-repair,Unmarried,Asian-Pac-Islander,Male,80,103975
58,Private,Doctorate,16,Divorced,Craft-repair,Not-in-family,Other,Female,44,138408
50,Government,Some-college,4,Married,Exec-managerial,Husband,Black,Female,92,39627
57,Unemployed,Bachelors,8,Separated,Exec-managerial,Unmarried,Black,Male,33,93114
56,Unemployed,Doctorate,3,Married,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,94,146314
35,Private,Bachelors,12,Single,Tech-support,Husband,Amer-Indian-Eskimo,Male,36,51770
57,Self-emp,Some-college,3,Separated,Exec-managerial,Own-child,White,Male,25,25263
18,Self-emp,Masters,3,Separated,Exec-managerial,Wife,White,Male,13,97818
28,Unemployed,Bachelors,8,Married,Prof-specialty,Husband,Asian-Pac-Islander,Female,39,90358
45,Self-emp,Some-college,4,Single,Tech-support,Wife,White,Female,79,32005
42,Private,Some-college,1,Separated,Sales,Own-child,Amer-Indian-Eskimo,Female,38,15619
67,Unemployed,Assoc,2,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,30,44822
40,Government,Doctorate,13,Divorced,Other-service,Wife,White,Female,14,113090
48,Government,Assoc,14,Widowed,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,50,96176
47,Self-emp,Masters,10,Widowed,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,68,142449
59,Unemployed,Doctorate,13,Single,Other-service,Own-child,Asian-Pac-Islander,Female,1,137443
52,Unemployed,Masters,13,Separated,Sales,Wife,Amer-Indian-Eskimo,Female,61,73104
24,Government,Assoc,14,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,3,77157
33,Unemployed,Some-college,2,Divorced,Craft-repair,Own-child,Asian-Pac-Islander,Male,50,38586
43,Unemployed,Masters,14,Single,Exec-managerial,Wife,Asian-Pac-Islander,Male,61,77301
65,Unemployed,Doctorate,3,Separated,Tech-support,Wife,White,Male,36,95376
69,Self-emp,Doctorate,6,Single,Craft-repair,Wife,Black,Female,4,133371
66,Unemployed,Masters,8,Married,Sales,Wife,Asian-Pac-Islander,Male,43,96773
19,Private,Doctorate,16,Divorced,Other-service,Husband,Asian-Pac-Islander,Female,14,130638
18,Self-emp,Some-college,12,Single,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,89,26427
65,Unemployed,Some-college,1,Single,Exec-managerial,Own-child,Black,Female,67,23740
29,Unemployed,Doctorate,9,Married,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,7,98139
22,Private,Masters,1,Widowed,Other-service,Unmarried,Amer-Indian-Eskimo,Female,8,86729
54,Self-emp,Assoc,10,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,44,79040
49,Government,Doctorate,16,Single,Craft-repair,Wife,Other,Male,64,111340
26,Government,Doctorate,2,Divorced,Prof-specialty,Wife,Black,Male,7,137235
58,Self-emp,Doctorate,3,Widowed,Sales,Husband,Amer-Indian-Eskimo,Male,48,79879
52,Unemployed,Doctorate,7,Single,Tech-support,Husband,Other,Male,62,148302
36,Unemployed,Masters,9,Married,Other-service,Husband,Other,Male,25,123913
65,Government,Assoc,3,Divorced,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,81,61170
33,Government,Assoc,8,Married,Prof-specialty,Husband,Asian-Pac-Islander,Female,90,86325
20,Government,Bachelors,15,Widowed,Tech-support,Husband,White,Male,68,72133
37,Private,Doctorate,9,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Female,64,147010
41,Government,Doctorate,10,Divorced,Other-service,Husband,Asian-Pac-Islander,Male,18,91767
50,Private,Bachelors,7,Widowed,Sales,Husband,Black,Female,4,70265
41,Self-emp,Assoc,4,Separated,Tech-support,Own-child,Asian-Pac-Islander,Female,17,43321
69,Unemployed,HS-grad,4,Divorced,Other-service,Husband,Other,Female,47,45339
28,Government,Some-college,4,Separated,Prof-specialty,Unmarried,Black,Female,81,38898
66,Unemployed,HS-grad,6,Widowed,Prof-specialty,Husband,Black,Male,45,55308
25,Unemployed,Assoc,4,Divorced,Tech-support,Wife,White,Female,89,85311
53,Government,Doctorate,5,Separated,Other-service,Wife,White,Male,58,102768
55,Government,HS-grad,9,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,3,39572
